site_numeral,Long,Lat ,site_original,plat
1,106.79817,47.481050,S01,mg
2,106.58428,46.745550,S02,mg
3,106.36021,46.036370,S03,mg
4,105.78576,45.524720,S04,mg
5,105.47025,44.810200,S05,mg
6,104.9519,43.947860,S06,mg
7,104.64529,43.684810,S07,mg
8,104.03994,43.498280,S08,mg
9,104.85536,43.775280,S09,mg
10,105.13699,43.721500,S10,mg
11,105.36886,43.714340,S11,mg
12,105.54738,43.727930,S12,mg
13,106.40898,43.185710,S13,mg
14,107.05161,43.140740,S14,mg
15,107.1227,43.203650,S15,mg
16,106.90653,43.362950,S16,mg
17,106.85772,44.017940,S17,mg
18,108.13577,44.360130,S18,mg
19,108.30273,44.472220,S19,mg
20,108.72982,44.653030,S20,mg
21,109.07789,44.694800,S21,mg
22,109.24951,45.874430,S22,mg
23,111.052000,39.795000,Dafanpu,im
24,109.763000,39.852400,Hantaizhen,im
25,109.219000,39.865200,Haizizhen,im
26,108.895000,39.885300,Talagou,im
27,108.630000,39.743600,Xinizhen,im
28,107.930000,39.148000,Wulanzhenbei,im
29,107.244000,39.224100,Snbeiyangchang,im
30,107.117000,39.352600,Qipanjing,im
31,105.795000,38.370300,Touguan,im
32,105.788000,38.934200,Bayanhaote,im
33,105.860000,38.999300,Helanshanbeisi,im
34,106.755000,39.961700,Jiangui,im
35,106.819000,40.084800,Belagong,im
,,,,
